	Titel	Datum
0	"""Patente van Ridderschap van den Heere Eraerdt van Pipenpoy, Heer van Merchten, hem vergunt van Artshertoch Albertus"". 1616"	01-01-1616
2	Lettre d'une rente, concernant la seigneurie de Fallais	1616
4	Akten van verkoop en overdracht van een jaarlijkse rente van 21 rijnsgulden uit het goed Esselink in Winterswijk, 1544-1616. 5 charters, getransfigeerd en gecancelleerd	01-01-1544
6	Akten van verkoop en overdracht door leden van de familie Van Eerde aan leden van de familie Van Middachten van verschillende renten uit het goed ter Essent te Doetinchem en het goed Esselink te Winterswijk, 1544-1616. 5 charters, getransfigeerd	01-01-1544
8	Akte, waarbij de marke van Hengelo vergunning verleent aan Maurits Ripperda om op enige erven in Vorden plaggen te laten steken en koeien te laten weiden, 1615. 1 charter	1615
10	Akte van aanstelling van Pelgrim van Essen, na de dood van zijn broeder Rutger van Essen, als dijkgraaf van Veluwe, 1615. 1 charter	1615
12	Acte van belening voor Lambert Lieftinck met de tienden van het goed Lieftinck te Exel onder Lochem, leenroerig aan Verwolde, 1615. 1 charter	01-01-1615
14	Acte van belening voor Jacob Glauwe, man van Bitter van Ensse, met 2/3 deel van het goed te Cattereep, leenroerig aan Overijssel, na dode van haar broeder Lubbert van Ensse, 1615. 1 charter	01-01-1615
16	Aankomsttitels van waardelen in de marke te Midlaren en van aandelen in Luytien Hoytingehofte aldaar, 1614, 1616	1614
18	Obligatie van de Staten van Holland voor Jaepgen Willems van Muntendam terzake van de lijfrente ten behoeve van Betgen, dochter van Dirck van den Star en Alijdt Steevens, 1616	1616
20	Akte van scheiding van de nalatenschap van Geertruid van Valckestein, met stukken betreffende processen voor het keizerlijk kamergericht van Spiers over deze nalatenschap gevoerd, 1615-1655	1615
22	Eigendomsbewijs van een grafkelder in het middenschip van de Buurkerk ten behoeve van de erfgenamen van Nicasius le Petit, 1615	1615
24	Akte van schuldbekentenis ten overstaan van het gerecht van Gerverscop Oosteinde door Johan van Rosant aan mr. Daniell van Weede als superintendent van de Armen-Noodhulp binnen Utrecht van een som groot 800 gld. onder hypotheekstelling van zijn landerijen in dit gerecht, 1614, met kwitantie wegens aflossing, 1615	01-01-1614
26	Schepenakte van transport door de regenten aan Cornelis Fransz. Verckenslager van een huis en erf gelegen aan de Mariënbornstraat	1616
28	Schepenakte van transport door Jan Jansz. de Haen aan de heilige geestmeesters van een huis met erf gelegen aan de Nieuwmiddelgracht	1615
30	Schepenakte waarbij door de heilige geestmeesters en Jan Ariensz. Huijgens de verdeling van een boerderij met land gelegen in Ruibroek wordt geregeld	1615
32	Akte van overdracht, verleden voor stadhouder en leenmannen leenhof van Cuijk, door Anthonis de Haan, ex-schout van Grave, als gemachtigde van Johan van Emmichoven, prior, en Arnout de Kegel, procurator karthuizerklooster in 's-Hertogenbosch, aan Gerard Niclaas, landschrijver Land van Cuijk, en Hanrikske, zijn vrouw, van bouwhof onder Hoocheesscheren in Escharen (1), 1616	1616
34	"Akte van overdracht, verleden voor schepenen van Ginneken, door Marie P. Faeszn, weduwe Paulus W. van den Wymaeren, en haar kinderen Peter en Heilken, (getrouwd met Cornelis Bastiaanszn), aan Nicolaas P. Rombouts en zijn vrouw Lyntken J. Peters, van huis, hof en erf in Ginneken bij kerk aan ""Sheerenstraete"", fotokopie, 1615"	1615
36	Eigendomsbewijs van 1 morgen land onder Teeffelen in Cleverbeemden, voor Dirk van Oss, 1616	1616
38	Vonnis van Raad van Brabant in Brussel, in proces van Jan en Jacob, zonen van Gijsbrecht van Berchem, in leven erfsecretaris van Maasland, over hun recht op bezit ambten van secretaris en vorster in Rosmalen, Nuland en Maren, tegen Arnout van Vladeracken, kwartierschout van Maasland / schepenen van Rosmalen en Nuland / Jan van Vladeracken, gepretendeerde secretaris van deze dorpen / Goort Jan Damen, secretaris van Maren, 1616	1616
