	Titel	Datum
0	"Akte van verkoop betreffende 1/4 van 4½ mad ""de kleine Fenne"", van 2 mad mieden en van 31 stuivers eeuwige rente 's jaars uit de zathe van de heer koper (stemkohier nr. 4) alle te Wartena, van Jan Tieerts (sleper) als erfgenaam van zijn oom Age Tiallings te Friens voor Cornelis van Scheltinga, oud kolonel van een regiment infanterie te Heerenveen (thans te Idaard), 1716; geconsenteerd, 1717, gekwiteerd, 1716, 1717"	01-01-1716
2	Commissie van de Staten Generaal voor Adam Ernst van Haren als raad ter admiraliteit van Friesland, 1716	01-01-1716
4	Commissie op Georg Wolfgang III zu Schwartzenberg als lid van de Raad van State, gegeven door de Staten- Generaal	1716
6	Aanstelling als grietman van Menaldumadeel van Georg voornoemd, in plaats van wijlen S.T. van Burmania, met een kwitantie van het betaalde aequivalent ingevolge het plakkaat van 1716, 1729.	01-01-1716
8	westzijde Korte Hoogstraat, Coenraat Peerts.	1715
10	Magescheid tusschen de kinderen van Maria Getruidt Swaeffken, vrouw van Dirck van Dorth tot Buslo, 1705. Met aangehechte acte van goedkeuring door de Geldersche leenkamer, 1715. 1 charter met aangehecht stuk	01-01-1705
12	Akte van belening door de staten van Gelre en graafschap Zutphen van Hendrick Podt c.s. met het goed te Eschede, 1715. 1 charter	1715
14	Zuidhorn, 1716 feb 5	1716 feb 5
16	"Schuldbekentenis groot 1.000,-- car. gulden, ten laste van Wibbina Gerlacius weduwe Buttinga en ten bate van de administrateurs van ""een sociteit van twintigh"", 1711. Afgelost 1715"	1711
18	Schuldbekentenis, groot 500 car. gulden, ten laste van Abraham Ottens en Grietien Lauters, ehelieden, en ten bate van Willimina Canter vrouw van dr. Theodorus Nicolij, 1715	1715
20	Huwelijkscontract tussen Hendrick Veldtman, zoon van Ficco Veldman, commies der provincie en wijlen Johanna Maria Mengers ehelieden, en Elisabeth Appius, dochter van burgemeester Appius en Anna Hayckens, ehelieden, 1715	1715
22	Huwelijkscontract tussen Johan Hora, zoon van Wilhelmus Hora en Anna Maria Clinge, ehelieden, en Catharina Wolthers, dochter van Harmen Wolthers en Anna Emmius, ehelieden, 1716	1716
24	Akten van belening door de heer van Amerongen met 6 morgen land op Leuterveld te Wijk bij Duurstede, 1715, 1767	1715
26	Akte van huwelijkse voorwaarden tussen Frederik Christiaan van Reede en Henriette van Nassau, met concept en een vers op hun huwelijk, 1714-1715	1714
28	Akten van aanstelling door de Staten van Utrecht van Johan Breijer tot schout van de stad Utrecht, 1715, 1733	1715
30	Akte van venia aetatis voor Geesje Draacx te Edam, 1715	01-01-1715
32	Akte van creatie van Claes Kroon als notaris, 1715	01-01-1715
34	Akte van transport ten overstaan van schepenen van Edam door de voogden over de kinderen van Harmanus Stapert en Geertje Jaspers aan Heijnderick van der Leij van een huis aan de noordzijde van de Voorhaven te Edam, 1715	01-01-1715
36	Acte waarbij Olivier Hackfort, heer tot ter Horst, als man van Maria Cornelia van der Burgh, door het leenhof van IJsselstein beleend wordt met het goed Well bij Amersfoort, 1715. 1 charter	1715
38	Vonnis van Raad van Brabant in Den Haag in zaak tussen voogden minderjarige kind wijlen Tite d'Aubignie, in leven drossaard van Bergen op Zoom, en René Mercier, gehuwd met Johanna Sentius, fotokopie, 1716	1716
