	number	yr	yn	year
0	107	1000-1001	365066	1000
1	3	1001-1002	365431	1001
2	3	1002-1003	365796	1002
3	1	1003-1004	366161	1003
4	2	1004-1005	366527	1004
5	2	1005-1006	366892	1005
6	2	1006-1007	367257	1006
7	2	1007-1008	367622	1007
8	2	1008-1009	367988	1008
9	2	1009-1010	368353	1009
10	1	1010-1011	368718	1010
11	2	1011-1012	369083	1011
12	4	1012-1013	369449	1012
13	4	1013-1014	369814	1013
14	4	1014-1015	370179	1014
15	3	1015-1016	370544	1015
16	3	1016-1017	370910	1016
17	4	1017-1018	371275	1017
18	5	1018-1019	371640	1018
19	3	1019-1020	372005	1019
20	1	1020-1021	372371	1020
21	2	1021-1022	372736	1021
22	3	1022-1023	373101	1022
23	4	1023-1024	373466	1023
24	39	1024-1025	373832	1024
25	38	1025-1026	374197	1025
26	1	1026-1027	374562	1026
27	2	1027-1028	374927	1027
28	3	1028-1029	375293	1028
29	1	1029-1030	375658	1029
30	2	1030-1031	376023	1030
31	3	1031-1032	376388	1031
32	2	1032-1033	376754	1032
33	2	1033-1034	377119	1033
34	2	1034-1035	377484	1034
35	2	1035-1036	377849	1035
36	1	1036-1037	378215	1036
37	2	1037-1038	378580	1037
38	2	1038-1039	378945	1038
39	9	1039-1040	379310	1039
40	9	1040-1041	379676	1040
41	2	1041-1042	380041	1041
42	3	1042-1043	380406	1042
43	1	1043-1044	380771	1043
44	0	1044-1045	381137	1044
45	8	1045-1046	381502	1045
46	8	1046-1047	381867	1046
47	0	1047-1048	382232	1047
48	1	1048-1049	382598	1048
49	4	1049-1050	382963	1049
50	8	1050-1051	383328	1050
51	6	1051-1052	383693	1051
52	2	1052-1053	384059	1052
53	1	1053-1054	384424	1053
54	0	1054-1055	384789	1054
55	1	1055-1056	385154	1055
56	2	1056-1057	385520	1056
57	2	1057-1058	385885	1057
58	4	1058-1059	386250	1058
59	3	1059-1060	386615	1059
60	0	1060-1061	386981	1060
61	4	1061-1062	387346	1061
62	6	1062-1063	387711	1062
63	3	1063-1064	388076	1063
64	3	1064-1065	388442	1064
65	2	1065-1066	388807	1065
66	0	1066-1067	389172	1066
67	2	1067-1068	389537	1067
68	2	1068-1069	389903	1068
69	1	1069-1070	390268	1069
70	2	1070-1071	390633	1070
71	1	1071-1072	390998	1071
72	0	1072-1073	391364	1072
73	1	1073-1074	391729	1073
74	5	1074-1075	392094	1074
75	6	1075-1076	392459	1075
76	3	1076-1077	392825	1076
77	2	1077-1078	393190	1077
78	1	1078-1079	393555	1078
79	3	1079-1080	393920	1079
80	4	1080-1081	394286	1080
81	1	1081-1082	394651	1081
82	7	1082-1083	395016	1082
83	8	1083-1084	395381	1083
84	55	1084-1085	395747	1084
85	54	1085-1086	396112	1085
86	4	1086-1087	396477	1086
87	8	1087-1088	396842	1087
88	4	1088-1089	397208	1088
89	1	1089-1090	397573	1089
90	3	1090-1091	397938	1090
91	3	1091-1092	398303	1091
92	4	1092-1093	398669	1092
93	4	1093-1094	399034	1093
94	2	1094-1095	399399	1094
95	7	1095-1096	399764	1095
96	7	1096-1097	400130	1096
97	1	1097-1098	400495	1097
98	0	1098-1099	400860	1098
99	17	1100-1101	401590	1100
100	5	1101-1102	401955	1101
101	1	1102-1103	402320	1102
102	0	1103-1104	402685	1103
103	1	1104-1105	403051	1104
104	1	1105-1106	403416	1105
105	4	1106-1107	403781	1106
106	14	1107-1108	404146	1107
107	12	1108-1109	404512	1108
108	2	1109-1110	404877	1109
109	1	1110-1111	405242	1110
110	1	1111-1112	405607	1111
111	0	1112-1113	405973	1112
112	0	1113-1114	406338	1113
